time-of-completion,duration,label
2025-03-07-13-47,10,W1 main
2025-03-06-15-27,28,W1 main
2025-03-05-15-00,90,W1 main
2025-03-05-11-57,37,W1 main
2025-03-04-18-34,90,W1 main
2025-03-04-15-41,90,W1 main
2025-03-04-14-04,57,W1 main
2025-03-03-10-53,90,W1 main
2025-02-23-03-36,49,
2025-02-21-16-13,90,W1 main
2025-02-21-14-42,90,W1 main
2025-02-21-10-55,73,W1 main
2025-02-19-13-30,90,W1 main
2025-02-19-11-59,90,W1 main
2025-02-19-10-28,90,W1 main
2025-02-18-21-56,90,W1 main
2025-02-18-18-49,90,W1 main
2025-02-18-17-18,90,W1 main
2025-02-18-15-31,90,W1 main
2025-02-18-11-24,89,W1 main
2025-02-17-17-04,90,W1 main
2025-02-17-14-59,90,W1 main
2025-02-17-13-22,90,W1 main
2025-02-14-12-27,65,W1 main
2025-02-13-15-39,90,W1 main
2025-02-12-21-57,90,W1 main
2025-02-12-13-03,90,W1 main
2025-02-12-11-32,90,W1 main
2025-02-12-04-34,78,W1 main
2025-02-11-20-29,91,W1 main
2025-02-11-14-39,90,W1 main
2025-02-11-12-41,52,W1 Misc
2025-02-07-00-03,20,W1 main
2025-02-05-06-00,30,W1 main
2025-02-04-16-32,90,W1 main
2025-02-04-15-01,90,W1 main
2025-02-04-13-24,90,W1 main
2025-02-04-10-51,56,W1 main
2025-02-03-16-27,90,W1 main
2025-02-03-14-56,90,W1 main
2025-02-03-13-25,90,W1 main
2025-02-02-03-30,44,W1 main
2025-02-01-21-18,90,W1 main
2025-02-01-19-47,90,W1 main
2025-02-01-16-38,90,W1 main
2025-02-01-15-08,50,W1 main
2025-01-31-17-09,90,W1 main
2025-01-31-15-38,90,W1 main
2025-01-31-13-47,90,W1 main
2025-01-31-11-52,37,W1 main
2025-01-30-16-28,90,W1 main
2025-01-28-17-16,90,W1 main
2025-01-28-13-42,90,W1 main
2025-01-28-03-36,89,W1 main
2025-01-28-01-23,90,W1 main
2025-01-27-17-44,90,W1 main
2025-01-27-15-41,90,W1 main
